"Town(s)","College(s)","Town Link(s)","College Link(s)"
"Malvern","Arkansas State University Three Rivers","","https://en.wikipedia.org/wiki/Arkansas_State_University_Three_Rivers"
"Beebe","Arkansas State University-Beebe","","https://en.wikipedia.org/wiki/Arkansas_State_University-Beebe"
"Newport","Arkansas State University-Newport","","https://en.wikipedia.org/wiki/Arkansas_State_University-Newport"
"Mountain Home","Arkansas State University–Mountain Home","","https://en.wikipedia.org/wiki/Arkansas_State_University%E2%80%93Mountain_Home"
"Russellville","Arkansas Tech University","https://en.wikipedia.org/wiki/Russellville,_Arkansas","https://en.wikipedia.org/wiki/Arkansas_Tech_University"
"1939","Arlington Baptist University","","https://en.wikipedia.org/wiki/Arlington_Baptist_University"
"Savannah","Armstrong Atlantic State University","https://en.wikipedia.org/wiki/Savannah,_Georgia","https://en.wikipedia.org/wiki/Armstrong_Atlantic_State_University"
"Bachelor of Architecture","Arquitecto","",""
"Cincinnati","Art Academy Of Cincinnati","","https://en.wikipedia.org/wiki/Art_Academy_of_Cincinnati"
"David N. Pugh, President","Art Institute Of Atlanta","","https://en.wikipedia.org/wiki/Art_Institute_of_Atlanta"
"Portland","Art Institute Of Portland","","https://en.wikipedia.org/wiki/Art_Institute_of_Portland"
"Pasadena","Artcenter College Of Design","","https://en.wikipedia.org/wiki/ArtCenter_College_of_Design"
"Artesia (Main)","Artesia Christian College","",""
"Arras","Artois University","https://en.wikipedia.org/wiki/Arras","https://en.wikipedia.org/wiki/Artois_University"
"Colegio Arubano EduCampus Aruba International School of Aruba University of Aruba","Aruba","","https://en.wikipedia.org/wiki/List_of_universities_in_Aruba"
"Baltimore","Asbury College","","https://en.wikipedia.org/wiki/Asbury_College_(Maryland)"
"Wilmore","Asbury Theological Seminary","https://en.wikipedia.org/wiki/Wilmore,_Kentucky","https://en.wikipedia.org/wiki/Asbury_University"
"Wilmore","Asbury University","https://en.wikipedia.org/wiki/Wilmore,_Kentucky","https://en.wikipedia.org/wiki/Asbury_University"
"American Speech–Language–Hearing Association","Asha","",""
"Las Vegas","Asher College","","https://en.wikipedia.org/w/index.php?title=Asher_College&action=edit&redlink=1"
"Asheville","Asheville Female College","","https://en.wikipedia.org/wiki/Asheville_Female_College"
"Clinton","Ashford University","","https://en.wikipedia.org/wiki/Ashford_University"
"Ashland","Ashland College & Normal School","","https://en.wikipedia.org/wiki/Ashland_College_%26_Normal_School"
"Ashland","Ashland University","https://en.wikipedia.org/wiki/Ashland,_Ohio","https://en.wikipedia.org/wiki/Ashland_University"
"Cebu City","Asian College Of Technology","https://en.wikipedia.org/wiki/Cebu_City","https://en.wikipedia.org/wiki/Don_Bosco_Technical_College-Cebu,_Inc."
"Enfield","Asnuntuck Community College","","https://en.wikipedia.org/wiki/Asnuntuck_Community_College"
"Philadelphia","Aspira City College","","https://en.wikipedia.org/wiki/ASPIRA_City_College"
"Cook Islands Niue","Associated States Of New Zealand","",""
"559","Assumption","","https://en.wikipedia.org/wiki/Assumption_University_(Worcester)"
"Richardton","Assumption College","","https://en.wikipedia.org/w/index.php?title=Assumption_College_(North_Dakota)&action=edit&redlink=1"
"Denville","Assumption College For Sisters","","https://en.wikipedia.org/wiki/Assumption_College_for_Sisters"
"Worcester, Massachusetts","Assumption University","","https://en.wikipedia.org/wiki/Assumption_University_(Worcester)"
"Amarillo","At Amarillo","https://en.wikipedia.org/wiki/Amarillo,_Texas","https://en.wikipedia.org/wiki/Wayland_Baptist_University"
"Cincinnati","Ata College -Cincinnati","",""
"Athabasca , Calgary , Edmonton","Athabasca University","","https://en.wikipedia.org/wiki/Athabasca_University"
"Toledo","Athena Career Academy","","https://en.wikipedia.org/w/index.php?title=Athena_Career_Academy&action=edit&redlink=1"
"Cincinnati","Athenaeum Of Ohio","","https://en.wikipedia.org/wiki/Athenaeum_of_Ohio"
"Athens","Athens Female Academy","",""
"Athens","Athens State University","","https://en.wikipedia.org/wiki/Athens_State_University"
"Albuquerque","Ati Career Training Center","","https://en.wikipedia.org/wiki/ATI_Enterprises"
"Public","Atlanta Metropolitan","","https://en.wikipedia.org/wiki/Atlanta_Metropolitan_State_College"
"Atlanta","Atlanta Metropolitan State College","","https://en.wikipedia.org/wiki/Atlanta_Metropolitan_State_College"
"Honolulu","Atlantic International University","","https://en.wikipedia.org/wiki/Atlantic_International_University"
"Kevin J. Todeschi, CEO","Atlantic University","","https://en.wikipedia.org/wiki/Atlantic_University"
"Association of Theological Schools in the United States and Canada","Ats","","https://en.wikipedia.org/wiki/Association_of_Theological_Schools"
"Association of Theological Schools in the United States and Canada","Atsca","","https://en.wikipedia.org/wiki/Association_of_Theological_Schools_in_the_United_States_and_Canada"
"Auburn","Auburn (Masonic) Female College","",""
"Auburn","Auburn Female Institute","",""
"Auburn","Auburn University","https://en.wikipedia.org/wiki/Auburn,_Alabama","https://en.wikipedia.org/wiki/Auburn_University"
"Montgomery","Auburn University At Montgomery","","https://en.wikipedia.org/wiki/Auburn_University_at_Montgomery"
"Minneapolis","Augsburg University","","https://en.wikipedia.org/wiki/Augsburg_University"
"Public","Augusta","","https://en.wikipedia.org/wiki/Augusta,_Georgia"
"Augusta","Augusta Technical College","https://en.wikipedia.org/wiki/Augusta,_Georgia","https://en.wikipedia.org/wiki/Augusta_Technical_College"
"Augusta","Augusta University","https://en.wikipedia.org/wiki/Augusta,_Georgia","https://en.wikipedia.org/wiki/Augusta_Technical_College"
"Augusta University *","Augusta University *","",""
"Rock Island","Augustana College","","https://en.wikipedia.org/wiki/Augustana_College_(Illinois)"
"Sioux Falls","Augustana University","https://en.wikipedia.org/wiki/Sioux_Falls,_South_Dakota","https://en.wikipedia.org/wiki/University_of_Sioux_Falls"
"Canton","Aultman College Of Nursing And Health Sciences","","https://en.wikipedia.org/w/index.php?title=Aultman_College_of_Nursing_and_Health_Sciences&action=edit&redlink=1"
"Aurora","Aurora University","https://en.wikipedia.org/wiki/Aurora,_Illinois","https://en.wikipedia.org/wiki/Aurora_University"
"1849","Austin College","","https://en.wikipedia.org/wiki/Austin_College"
"Austin (Travis County) Cedar Park Leander Round Rock (Williamson County) Elgin (Bastrop County) Kyle (Hays County)","Austin Community College","","https://en.wikipedia.org/wiki/Austin_Community_College"
"Clarksville","Austin Peay State University","https://en.wikipedia.org/wiki/Clarksville,_Tennessee","https://en.wikipedia.org/wiki/Austin_Peay_State_University"
"Austin Presbyterian Theological Seminary","Austin Presbyterian Theological Seminary","","https://en.wikipedia.org/wiki/Austin_Presbyterian_Theological_Seminary"
"Launceston","Australian Maritime College","https://en.wikipedia.org/wiki/Launceston,_Tasmania","https://en.wikipedia.org/wiki/University_of_Tasmania"
"Naples, Florida","Ave Maria School Of Law","","https://en.wikipedia.org/wiki/Ave_Maria_School_of_Law"
"Danville","Averett University","","https://en.wikipedia.org/wiki/Averett_University"
"Multiple","Aviation Institute Of Maintenance","",""
"Kansas City, Missouri","Avila University","","https://en.wikipedia.org/wiki/Avila_University"
"American Veterinary Medical Association","Avma","","https://en.wikipedia.org/wiki/American_Veterinary_Medical_Association"
"Azusa","Azusa Pacific University","https://en.wikipedia.org/wiki/Azusa,_California","https://en.wikipedia.org/wiki/Azusa_Pacific_University"
"Cluj-Napoca","Babeș-Bolyai University","https://en.wikipedia.org/wiki/Cluj-Napoca","https://en.wikipedia.org/wiki/Babe%C8%99-Bolyai_University"
"81","Babson","","https://en.wikipedia.org/wiki/Babson_College"
"Wellesley","Babson College","https://en.wikipedia.org/wiki/Wellesley,_Massachusetts","https://en.wikipedia.org/wiki/Babson_College"
"Muskogee","Bacone College","","https://en.wikipedia.org/wiki/Bacone_College"
"Baguio","Baguio Central University","https://en.wikipedia.org/wiki/Baguio","https://en.wikipedia.org/wiki/University_of_the_Philippines_Baguio"
"Manama","Bahrain Institute Of Banking And Finance","https://en.wikipedia.org/wiki/Manama","https://en.wikipedia.org/wiki/University_of_Bahrain"
"Isa Town","Bahrain Polytechnic","https://en.wikipedia.org/wiki/Isa_Town","https://en.wikipedia.org/wiki/University_of_Bahrain"
"Buncombe County","Bailey Law School","","https://en.wikipedia.org/wiki/Bailey_Law_School"
"Clinton","Baird College","","https://en.wikipedia.org/wiki/Baird_College"
"Stamford","Bais Binyomin Academy","","https://en.wikipedia.org/w/index.php?title=Bais_Binyomin_Academy&action=edit&redlink=1"
"Lakewood","Bais Medrash Toras Chesed","",""
"Baker","Baker Business College","","https://en.wikipedia.org/w/index.php?title=Baker_Business_College&action=edit&redlink=1"
"Baker","Baker City Normal & Business College","","https://en.wikipedia.org/w/index.php?title=Baker_City_Normal_%26_Business_College&action=edit&redlink=1"
"Owosso","Baker College","","https://en.wikipedia.org/wiki/Baker_College"
"Baldwin City","Baker University","https://en.wikipedia.org/wiki/Baldwin_City,_Kansas","https://en.wikipedia.org/wiki/Baker_University"
"Berea","Baldwin Wallace University","https://en.wikipedia.org/wiki/Berea,_Ohio","https://en.wikipedia.org/wiki/Baldwin_Wallace_University"
"Muncie","Ball State University","https://en.wikipedia.org/wiki/Muncie,_Indiana","https://en.wikipedia.org/wiki/Ball_State_University"
"Baltimore","Baltimore City Community College","","https://en.wikipedia.org/wiki/Baltimore_City_Community_College"
"Baltimore","Baltimore College","","https://en.wikipedia.org/wiki/Baltimore_College"
"Baltimore","Baltimore Female College","","https://en.wikipedia.org/wiki/Baltimore_Female_College"
"Baltimore","Baltimore Hebrew University","","https://en.wikipedia.org/wiki/Baltimore_Hebrew_University"
"Pagoh","Bandar Universiti Pagoh","https://en.wikipedia.org/wiki/Pagoh","https://en.wikipedia.org/wiki/Bandar_Universiti_Pagoh"
"Bandung","Bandung Institute Of Technology","https://en.wikipedia.org/wiki/Bandung","https://en.wikipedia.org/wiki/Bandung_Institute_of_Technology"
"Bangor","Bangor Theological Seminary","","https://en.wikipedia.org/wiki/Bangor_Theological_Seminary"
"Memphis","Baptist Health Sciences University","","https://en.wikipedia.org/wiki/Baptist_Health_Sciences_University"
"Richmond","Baptist Theological Seminary At Richmond","","https://en.wikipedia.org/wiki/Baptist_Theological_Seminary_at_Richmond"
"Graceville, Florida","Baptist University Of Florida","","https://en.wikipedia.org/wiki/Baptist_University_of_Florida"
"1947","Baptist University Of The Americas","","https://en.wikipedia.org/wiki/Baptist_University_of_the_Americas"
"San Antonio, Texas","Baptist University Of The Américas","","https://en.wikipedia.org/wiki/Baptist_University_of_the_Am%C3%A9ricas"
"Lake Forest, Illinois","Barat College","","https://en.wikipedia.org/wiki/Barat_College"
"Lake Forest","Barat College Of The Sacred Heart","","https://en.wikipedia.org/wiki/Barat_College"
"Anniston","Barber Memorial College","",""
"Concord","Barber-Scotia College","","https://en.wikipedia.org/wiki/Barber-Scotia_College"
"Concord","Barber–Scotia College","","https://en.wikipedia.org/wiki/Barber%E2%80%93Scotia_College"
"Tivoli","Bard College","https://en.wikipedia.org/wiki/Tivoli,_New_York","https://en.wikipedia.org/wiki/Bard_College"
"Great Barrington","Bard College At Simon'S Rock","","https://en.wikipedia.org/wiki/Bard_College_at_Simon%27s_Rock"
"Berlin","Bard College Berlin","","https://en.wikipedia.org/wiki/Bard_College_Berlin"
"Rochester","Barleywood Female University","","https://en.wikipedia.org/wiki/Barleywood_Female_University"
"Manhattan","Barnard College","","https://en.wikipedia.org/wiki/Barnard_College"
"Barrington","Barrington College","","https://en.wikipedia.org/wiki/Barrington_College"
"Miami, Florida","Barry University","","https://en.wikipedia.org/wiki/Barry_University"
"Orlando, Florida","Barry University School Of Law","","https://en.wikipedia.org/wiki/Barry_University_School_of_Law"
"Wilson","Barton College","https://en.wikipedia.org/wiki/Wilson,_North_Carolina","https://en.wikipedia.org/wiki/Barton_College"
"Mitchel B. Wallerstein , President","Baruch College","","https://en.wikipedia.org/wiki/Baruch_College"
"Portland","Bassist College","","https://en.wikipedia.org/w/index.php?title=Bassist_College&action=edit&redlink=1"
"Lewiston","Bates College","https://en.wikipedia.org/wiki/Lewiston,_Maine","https://en.wikipedia.org/wiki/Bates_College"
"Escanaba","Bay De Noc Community College","","https://en.wikipedia.org/wiki/Bay_de_Noc_Community_College"
"Brimley","Bay Mills Community College","","https://en.wikipedia.org/wiki/Bay_Mills_Community_College"
"Longmeadow","Bay Path University","","https://en.wikipedia.org/wiki/Bay_Path_University"
"Bayamón, Puerto Rico","Bayamón Central University","","https://en.wikipedia.org/wiki/Bayam%C3%B3n_Central_University"
"Houston","Baylor College Of Medicine","","https://en.wikipedia.org/wiki/Baylor_College_of_Medicine"
"Waco","Baylor University","https://en.wikipedia.org/wiki/Waco,_Texas","https://en.wikipedia.org/wiki/Baylor_University"
"Bayonne","Bayonne Junior College","",""
"Sabour","Bce Bhagalpur","https://en.wikipedia.org/wiki/Sabour,_Bhagalpur","https://en.wikipedia.org/wiki/Bihar_Agricultural_University"
"Bangor","Beal University","","https://en.wikipedia.org/wiki/Beal_University"
"Wudaokou","Beihang University","https://en.wikipedia.org/wiki/Wudaokou","https://en.wikipedia.org/wiki/Tsinghua_University"
"Wudaokou","Beijing Language And Culture University","https://en.wikipedia.org/wiki/Wudaokou","https://en.wikipedia.org/wiki/Tsinghua_University"
"Jackson","Belhaven University","https://en.wikipedia.org/wiki/Jackson,_Mississippi","https://en.wikipedia.org/wiki/Jackson_State_University"
"Center Harbor","Belknap College","","https://en.wikipedia.org/w/index.php?title=Belknap_College&action=edit&redlink=1"
"Bellevue","Bellevue University","","https://en.wikipedia.org/wiki/Bellevue_University"
"Green Bay","Bellin College","","https://en.wikipedia.org/wiki/Bellin_College"
"Belmont","Belmont Abbey College","https://en.wikipedia.org/wiki/Belmont,_North_Carolina","https://en.wikipedia.org/wiki/Belmont_Abbey_College"
